DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	SPREAD
2023.06.22	07:00:00	1.09921	1.09931	1.09859	1.09866	1706	1.9269662921347739
2023.06.22	08:00:00	1.09864	1.09899	1.0984099999999999	1.09851	2052	1.8770159973880973
2023.06.22	09:00:00	1.09854	1.09898	1.09799	1.09819	2909	1.906346525096516
2023.06.22	10:00:00	1.0982	1.09994	1.09791	1.09937	5063	1.8831809606733267
2023.06.22	11:00:00	1.09935	1.1003	1.09865	1.09922	3849	1.906980671795837
2023.06.22	12:00:00	1.09921	1.10033	1.09914	1.10011	2744	1.9194423126118751
2023.06.22	13:00:00	1.1001	1.10073	1.09995	1.10037	2790	1.8974776668418505
2023.06.22	14:00:00	1.10038	1.10117	1.09874	1.09887	5869	2.219604205318484
2023.06.22	15:00:00	1.09885	1.10008	1.09798	1.09818	5378	2.1436487048067723
2023.06.22	16:00:00	1.09818	1.09843	1.09674	1.09808	6037	1.9182970581200798
2023.06.22	17:00:00	1.09806	1.09884	1.09579	1.09584	6187	1.9112346536946834
2023.06.22	18:00:00	1.09584	1.09659	1.09514	1.09519	4615	1.8984059343434283
2023.06.22	19:00:00	1.09518	1.0956	1.09477	1.09538	2510	1.905220090293486
2023.06.22	20:00:00	1.09539	1.09574	1.09493	1.09564	2337	1.9171495463857513
2023.06.22	21:00:00	1.09565	1.09595	1.09504	1.09584	2023	1.9093054170820334
2023.06.22	22:00:00	1.09584	1.09609	1.09536	1.09573	1866	1.9140875133403865
2023.06.22	23:00:00	1.09573	1.09577	1.09525	1.09527	454	1.902222222222225
2023.06.23	00:00:00	1.09532	1.0955300000000001	1.09532	1.09536	171	5.493133047210208
2023.06.23	01:00:00	1.09536	1.09546	1.09523	1.09529	310	2.162745098039289
2023.06.23	02:00:00	1.09529	1.0957	1.09527	1.09547	1003	1.8752481027436876
2023.06.23	03:00:00	1.09547	1.09578	1.0952	1.09545	1922	1.879709116708143
2023.06.23	04:00:00	1.09545	1.09556	1.09453	1.0946	2552	1.8854830799411904
2023.06.23	05:00:00	1.09459	1.09459	1.09315	1.09379	2489	1.8961347321922348
2023.06.23	06:00:00	1.09377	1.09397	1.09341	1.0935	1728	1.9151010701545916
2023.06.23	07:00:00	1.09349	1.09363	1.09282	1.09323	2273	1.8900085640880158
2023.06.23	08:00:00	1.09324	1.09333	1.09267	1.0931899999999999	2491	1.876896046852121
2023.06.23	09:00:00	1.09317	1.09326	1.09198	1.09224	3372	1.9100158040299924
2023.06.23	10:00:00	1.09225	1.09254	1.08523	1.0868	9037	2.380295773464383
2023.06.23	11:00:00	1.08685	1.0873599999999999	1.0848	1.08484	5639	1.8968478696407043
2023.06.23	12:00:00	1.08484	1.08615	1.08436	1.086	4029	1.901924410540925
2023.06.23	13:00:00	1.08599	1.08714	1.08599	1.0867499999999999	3134	1.8805268109125417
2023.06.23	14:00:00	1.08676	1.08786	1.08654	1.08754	3172	1.8914492753623355
2023.06.23	15:00:00	1.08755	1.08948	1.08755	1.08866	5292	1.8906694560669488
2023.06.23	16:00:00	1.08866	1.09019	1.08826	1.08827	6299	2.1486595492289418
2023.06.23	17:00:00	1.08826	1.08979	1.08782	1.08818	6472	1.8951211112386672
2023.06.23	18:00:00	1.08817	1.08915	1.08782	1.08853	3773	1.8999624906226156
2023.06.23	19:00:00	1.08855	1.0889	1.08819	1.08849	2976	1.886946792640385
2023.06.23	20:00:00	1.08851	1.08955	1.08851	1.08941	2291	1.8888785625774276
2023.06.23	21:00:00	1.0894	1.08943	1.08878	1.08912	1808	1.9387172599059646
2023.06.23	22:00:00	1.08912	1.08935	1.08866	1.08905	1793	1.9108602569092916
2023.06.23	23:00:00	1.08905	1.08941	1.08897	1.08938	597	1.8876953124998754
2023.06.26	00:00:00	1.08996	1.09018	1.08982	1.08997	152	4.748068669527964
2023.06.26	01:00:00	1.08998	1.09063	1.08844	1.0906	857	2.39830508474572
2023.06.26	02:00:00	1.09059	1.09059	1.09023	1.09057	1263	1.8665395095367332
2023.06.26	03:00:00	1.09057	1.09087	1.08982	1.09046	2814	1.8744503411675808
2023.06.26	04:00:00	1.09046	1.09091	1.0901	1.0903	2821	1.9012013455069272
2023.06.26	05:00:00	1.0903	1.09085	1.09026	1.09041	2190	1.9327929030284499
2023.06.26	06:00:00	1.0904	1.09086	1.0903100000000001	1.09054	1439	1.8729374433363937
2023.06.26	07:00:00	1.09053	1.0907499999999999	1.0899	1.09018	1249	1.8932713347920775
2023.06.26	08:00:00	1.09017	1.0909200000000001	1.09015	1.09064	2057	1.8678635547576556
2023.06.26	09:00:00	1.09062	1.09102	1.0897000000000001	1.09024	3262	1.910075566750613
2023.06.26	10:00:00	1.09025	1.09076	1.08947	1.09018	4907	1.9094495142772467
2023.06.26	11:00:00	1.09017	1.09027	1.08866	1.08913	4322	1.8973724103082277
2023.06.26	12:00:00	1.08912	1.09005	1.089	1.08959	2680	1.9292268694550063
2023.06.26	13:00:00	1.08958	1.09065	1.08932	1.09036	2738	1.907842091224273
2023.06.26	14:00:00	1.09035	1.09172	1.09023	1.0917	2756	1.8932212028542577
2023.06.26	15:00:00	1.09171	1.09193	1.09135	1.09167	2910	1.915362457993219
2023.06.26	16:00:00	1.09166	1.09193	1.09073	1.09118	3812	1.9177828658652059
2023.06.26	17:00:00	1.0912	1.09151	1.09019	1.0907499999999999	4852	1.9014773914340273
2023.06.26	18:00:00	1.09074	1.09171	1.09048	1.09085	3283	1.9306352241342573
2023.06.26	19:00:00	1.09085	1.0909200000000001	1.08991	1.09078	2542	1.8999457994580093
2023.06.26	20:00:00	1.09079	1.09123	1.09057	1.09093	1755	1.9353126228863708
2023.06.26	21:00:00	1.09094	1.09146	1.09078	1.0914	1528	1.934181818181813
2023.06.26	22:00:00	1.0914	1.09144	1.09033	1.09056	1916	1.9046814501935594
2023.06.26	23:00:00	1.09055	1.09077	1.09035	1.0904	417	1.8924511545293525
2023.06.27	00:00:00	1.09042	1.09063	1.0904	1.09051	228	4.499999999999999
2023.06.27	01:00:00	1.09049	1.09112	1.09045	1.09105	365	2.0571240105539537
2023.06.27	02:00:00	1.09105	1.09105	1.09068	1.09093	737	1.9073170731706923
2023.06.27	03:00:00	1.0909200000000001	1.09107	1.0901399999999999	1.09037	1952	1.8958884519128578
2023.06.27	04:00:00	1.09038	1.09344	1.0903100000000001	1.09233	4105	1.8830287206265799
2023.06.27	05:00:00	1.09233	1.09235	1.09169	1.09221	2303	1.923788666849193
2023.06.27	06:00:00	1.09221	1.09284	1.09206	1.09259	1868	1.8926142595978421
2023.06.27	07:00:00	1.09259	1.09281	1.09224	1.09225	1601	1.9074809805579875
2023.06.27	08:00:00	1.09226	1.09265	1.09167	1.09172	2101	1.923558813728722
2023.06.27	09:00:00	1.09171	1.09326	1.09156	1.09304	3817	1.9007611241217142
2023.06.27	10:00:00	1.09303	1.09407	1.09285	1.09389	4085	1.8797903109183007
2023.06.27	11:00:00	1.09388	1.0943100000000001	1.0934	1.09389	4103	1.891882373657339
2023.06.27	12:00:00	1.09388	1.0944	1.09255	1.09403	3067	1.9060592150562337
2023.06.27	13:00:00	1.09402	1.09521	1.09379	1.09507	2605	1.895673323092681
2023.06.27	14:00:00	1.09507	1.09516	1.09422	1.09438	2558	1.885801952580182
2023.06.27	15:00:00	1.09437	1.09714	1.09436	1.09647	5138	1.900349259569698
2023.06.27	16:00:00	1.09646	1.0976	1.09609	1.09648	5027	1.90970584055704
2023.06.27	17:00:00	1.09646	1.09673	1.09416	1.09482	7630	1.9163480488765956
2023.06.27	18:00:00	1.09481	1.09621	1.09451	1.09591	4274	1.9335545967474383
2023.06.27	19:00:00	1.09592	1.09648	1.09564	1.09581	2288	1.922027110289519
2023.06.27	20:00:00	1.0958	1.09632	1.09544	1.09611	2113	1.926910516002601
2023.06.27	21:00:00	1.09612	1.09618	1.09573	1.09591	1626	1.9215711805555153
2023.06.27	22:00:00	1.0959	1.09631	1.09586	1.09618	1368	1.9279445727483335
2023.06.27	23:00:00	1.09618	1.09624	1.09591	1.09599	442	1.906589147286802
2023.06.28	00:00:00	1.09594	1.09611	1.09565	1.09595	250	4.021325648415126
2023.06.28	01:00:00	1.09596	1.0962	1.09558	1.09564	396	1.9444444444444646
2023.06.28	02:00:00	1.09565	1.09577	1.0954	1.09568	1047	1.8701093560145807
2023.06.28	03:00:00	1.09568	1.09607	1.0952	1.09538	2114	1.8884914463452804
2023.06.28	04:00:00	1.09539	1.09556	1.09454	1.09456	3175	1.8948035215804193
2023.06.28	05:00:00	1.09456	1.095	1.09415	1.09485	2023	1.9206954760296213
2023.06.28	06:00:00	1.09485	1.09537	1.09479	1.09503	1373	1.9171330387825232
